No,thread_url,post_code
71,https://www.threads.net/@asa_to_ame/post/DVYFRxdkyFp,DVYFRxdkyFp
72,https://www.threads.net/@asa_to_ame/post/DVYFKp3k-nq,DVYFKp3k-nq
73,https://www.threads.net/@asa_to_ame/post/DVX-V8Gk27W,DVX-V8Gk27W
74,https://www.threads.net/@asa_to_ame/post/DVX-YEqk83h,DVX-YEqk83h
75,https://www.threads.net/@asa_to_ame/post/DVXfMSIkxHp,DVXfMSIkxHp
76,https://www.threads.net/@asa_to_ame/post/DVXfMQ7kwv0,DVXfMQ7kwv0
77,https://www.threads.net/@asa_to_ame/post/DVXb71Uk4w_,DVXb71Uk4w_
78,https://www.threads.net/@asa_to_ame/post/DVXb-Ixk3qD,DVXb-Ixk3qD
79,https://www.threads.net/@asa_to_ame/post/DVU3PM0k1Tb,DVU3PM0k1Tb
80,https://www.threads.net/@asa_to_ame/post/DVU3RgDE_oC,DVU3RgDE_oC
81,https://www.threads.net/@asa_to_ame/post/DVS0s7jEyUU,DVS0s7jEyUU
82,https://www.threads.net/@asa_to_ame/post/DVS0u8ck4OP,DVS0u8ck4OP
83,https://www.threads.net/@asa_to_ame/post/DVSdZ5GE1i2,DVSdZ5GE1i2
84,https://www.threads.net/@asa_to_ame/post/DVSSg0xEw9H,DVSSg0xEw9H
85,https://www.threads.net/@asa_to_ame/post/DVSSi-Kk-pe,DVSSi-Kk-pe
86,https://www.threads.net/@asa_to_ame/post/DVQdYnDE6iK,DVQdYnDE6iK
87,https://www.threads.net/@asa_to_ame/post/DVQdY-kE60h,DVQdY-kE60h
88,https://www.threads.net/@asa_to_ame/post/DVQW0Dqk12H,DVQW0Dqk12H
89,https://www.threads.net/@asa_to_ame/post/DVQW2P7E22L,DVQW2P7E22L
90,https://www.threads.net/@asa_to_ame/post/DVQP2ihE_zr,DVQP2ihE_zr
91,https://www.threads.net/@asa_to_ame/post/DVQP47qk2k-,DVQP47qk2k-
92,https://www.threads.net/@asa_to_ame/post/DVP1oPBEywd,DVP1oPBEywd
93,https://www.threads.net/@asa_to_ame/post/DVP3e8uk-Wf,DVP3e8uk-Wf
94,https://www.threads.net/@asa_to_ame/post/DVPtkiUk_z9,DVPtkiUk_z9
95,https://www.threads.net/@asa_to_ame/post/DVPtnDOEz6n,DVPtnDOEz6n
96,https://www.threads.net/@asa_to_ame/post/DVPOlX5E2_A,DVPOlX5E2_A
97,https://www.threads.net/@asa_to_ame/post/DVOUmoRk7nL,DVOUmoRk7nL
98,https://www.threads.net/@asa_to_ame/post/DVOUr2Ik1qk,DVOUr2Ik1qk
99,https://www.threads.net/@asa_to_ame/post/DVOUUufE7K8,DVOUUufE7K8
100,https://www.threads.net/@asa_to_ame/post/DVOGXgik8dM,DVOGXgik8dM
101,https://www.threads.net/@asa_to_ame/post/DVOGl37k2sM,DVOGl37k2sM
102,https://www.threads.net/@asa_to_ame/post/DVOFNQbE_HT,DVOFNQbE_HT
103,https://www.threads.net/@asa_to_ame/post/DVOFNRpk4HT,DVOFNRpk4HT
104,https://www.threads.net/@asa_to_ame/post/DVOABl6k3KD,DVOABl6k3KD
105,https://www.threads.net/@asa_to_ame/post/DVOAQknkx66,DVOAQknkx66
106,https://www.threads.net/@asa_to_ame/post/DVN8TDAk2lo,DVN8TDAk2lo
107,https://www.threads.net/@asa_to_ame/post/DVN8TCfk37E,DVN8TCfk37E
108,https://www.threads.net/@asa_to_ame/post/DVN4yofk7zC,DVN4yofk7zC
109,https://www.threads.net/@asa_to_ame/post/DVN40qLk5Qn,DVN40qLk5Qn
110,https://www.threads.net/@asa_to_ame/post/DVNrCbikz4G,DVNrCbikz4G
111,https://www.threads.net/@asa_to_ame/post/DVNrEpFE7Dy,DVNrEpFE7Dy
112,https://www.threads.net/@asa_to_ame/post/DVNUVdNE58y,DVNUVdNE58y
113,https://www.threads.net/@asa_to_ame/post/DVNI3rJkzMp,DVNI3rJkzMp
114,https://www.threads.net/@asa_to_ame/post/DVNI6Ohk4dK,DVNI6Ohk4dK
115,https://www.threads.net/@asa_to_ame/post/DVLlIVxE_rG,DVLlIVxE_rG
116,https://www.threads.net/@asa_to_ame/post/DVLlKFZE3gu,DVLlKFZE3gu
117,https://www.threads.net/@asa_to_ame/post/DVLT9UYk3Dd,DVLT9UYk3Dd
118,https://www.threads.net/@asa_to_ame/post/DVLT-M6k4ZT,DVLT-M6k4ZT
119,https://www.threads.net/@asa_to_ame/post/DVLGRurE4LM,DVLGRurE4LM
120,https://www.threads.net/@asa_to_ame/post/DVLGT4bE2Rq,DVLGT4bE2Rq
121,https://www.threads.net/@asa_to_ame/post/DVLGSFJgHpW,DVLGSFJgHpW
122,https://www.threads.net/@asa_to_ame/post/DVKy-Ask0Tt,DVKy-Ask0Tt
123,https://www.threads.net/@asa_to_ame/post/DVKy-AZk3sX,DVKy-AZk3sX
124,https://www.threads.net/@asa_to_ame/post/DVKkM1wk0La,DVKkM1wk0La
125,https://www.threads.net/@asa_to_ame/post/DVKkPEPEwfB,DVKkPEPEwfB
126,https://www.threads.net/@asa_to_ame/post/DVKgT5NE3Dm,DVKgT5NE3Dm
127,https://www.threads.net/@asa_to_ame/post/DVJBERCE1OV,DVJBERCE1OV
128,https://www.threads.net/@asa_to_ame/post/DVJBEUZk5E9,DVJBEUZk5E9
129,https://www.threads.net/@asa_to_ame/post/DVI2H-5k-E2,DVI2H-5k-E2
130,https://www.threads.net/@asa_to_ame/post/DVI2KD5E3qt,DVI2KD5E3qt
131,https://www.threads.net/@asa_to_ame/post/DVIxANpk52a,DVIxANpk52a
132,https://www.threads.net/@asa_to_ame/post/DVIxALEk6sU,DVIxALEk6sU
133,https://www.threads.net/@asa_to_ame/post/DVIwEe0E9qa,DVIwEe0E9qa
134,https://www.threads.net/@asa_to_ame/post/DVIwZxDk9Bg,DVIwZxDk9Bg
135,https://www.threads.net/@asa_to_ame/post/DVIvRAHDvcI,DVIvRAHDvcI
136,https://www.threads.net/@asa_to_ame/post/DVIoZwkE0xE,DVIoZwkE0xE
137,https://www.threads.net/@asa_to_ame/post/DVIoby4kwHq,DVIoby4kwHq
138,https://www.threads.net/@asa_to_ame/post/DVIK2O4kyS0,DVIK2O4kyS0
139,https://www.threads.net/@asa_to_ame/post/DVIK4YQEwvk,DVIK4YQEwvk
140,https://www.threads.net/@asa_to_ame/post/DVGRbPWkxSo,DVGRbPWkxSo
141,https://www.threads.net/@asa_to_ame/post/DVGRdUTE1Jy,DVGRdUTE1Jy
142,https://www.threads.net/@asa_to_ame/post/DVGNeD1k5M0,DVGNeD1k5M0
143,https://www.threads.net/@asa_to_ame/post/DVGKyb4E_8f,DVGKyb4E_8f
144,https://www.threads.net/@asa_to_ame/post/DVGKzQoE-YB,DVGKzQoE-YB
145,https://www.threads.net/@asa_to_ame/post/DVGB9pFk_e1,DVGB9pFk_e1
146,https://www.threads.net/@asa_to_ame/post/DVGB9n2k3iw,DVGB9n2k3iw
147,https://www.threads.net/@asa_to_ame/post/DVF8rLfCaOg,DVF8rLfCaOg
148,https://www.threads.net/@asa_to_ame/post/DVF7UbpkyeO,DVF7UbpkyeO
149,https://www.threads.net/@asa_to_ame/post/DVF8nJ2E8Z8,DVF8nJ2E8Z8
150,https://www.threads.net/@asa_to_ame/post/DVF7NGbE4Q8,DVF7NGbE4Q8
151,https://www.threads.net/@asa_to_ame/post/DVFUvLHk5_k,DVFUvLHk5_k
152,https://www.threads.net/@asa_to_ame/post/DVFU0WUEyeC,DVFU0WUEyeC
153,https://www.threads.net/@asa_to_ame/post/DVFRe0Hkwgh,DVFRe0Hkwgh
154,https://www.threads.net/@asa_to_ame/post/DVFReysEyMU,DVFReysEyMU
155,https://www.threads.net/@asa_to_ame/post/DU-f0P5E-KH,DU-f0P5E-KH
156,https://www.threads.net/@asa_to_ame/post/DU-f1ySkyeY,DU-f1ySkyeY
157,https://www.threads.net/@asa_to_ame/post/DU-YvbIkxbC,DU-YvbIkxbC
158,https://www.threads.net/@asa_to_ame/post/DU-Yxgpk_8h,DU-Yxgpk_8h
159,https://www.threads.net/@asa_to_ame/post/DU-OSNNDg4I,DU-OSNNDg4I
160,https://www.threads.net/@asa_to_ame/post/DU9j9Kjk1l7,DU9j9Kjk1l7
161,https://www.threads.net/@asa_to_ame/post/DU9le1rk8Gy,DU9le1rk8Gy
162,https://www.threads.net/@asa_to_ame/post/DU8WgLak_EQ,DU8WgLak_EQ
163,https://www.threads.net/@asa_to_ame/post/DU8WlPIk1Uf,DU8WlPIk1Uf
164,https://www.threads.net/@asa_to_ame/post/DU8TqJdk1-A,DU8TqJdk1-A
165,https://www.threads.net/@asa_to_ame/post/DU76joiE9Ul,DU76joiE9Ul
166,https://www.threads.net/@asa_to_ame/post/DU76jonkydY,DU76jonkydY
167,https://www.threads.net/@asa_to_ame/post/DU7wX6Sj7Ld,DU7wX6Sj7Ld
168,https://www.threads.net/@asa_to_ame/post/DU7hvSIE9T1,DU7hvSIE9T1
169,https://www.threads.net/@asa_to_ame/post/DU5nS2nE4VA,DU5nS2nE4VA
170,https://www.threads.net/@asa_to_ame/post/DU5haYDE7gR,DU5haYDE7gR
171,https://www.threads.net/@asa_to_ame/post/DU5jUM6k7se,DU5jUM6k7se
